GP,W,L,OTL,PTS,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK,Team,Year,RW
82,37,38,7,81,33,4,3,21-15-5,16-23-2,262,299,-37,4-5-1,L1,e -- CBJ Columbus Blue Jackets,2021,26
82,32,37,13,77,29,3,3,18-18-5,14-19-8,214,264,-50,3-4-3,L3,e -- SJ San Jose Sharks,2021,22
82,31,37,14,76,27,4,5,17-19-5,14-18-9,232,271,-39,3-5-2,L1,e -- ANA Anaheim Ducks,2021,22
82,32,39,11,75,29,3,3,17-18-6,15-21-5,232,290,-58,6-4-0,W1,e -- BUF Buffalo Sabres,2021,25
82,32,40,10,74,29,3,2,18-16-7,14-24-3,230,312,-82,4-6-0,W1,e -- DET Detroit Red Wings,2021,21
82,33,42,7,73,30,3,2,15-22-4,18-20-3,227,266,-39,7-2-1,W1,e -- OTT Ottawa Senators,2021,26
82,28,42,12,68,22,6,2,14-21-6,14-21-6,219,291,-72,4-5-1,L1,e -- CHI Chicago Blackhawks,2021,16
82,27,46,9,63,24,3,5,16-20-5,11-26-4,248,307,-59,2-5-3,L6,e -- NJ New Jersey Devils,2021,19
82,25,46,11,61,24,1,4,14-21-6,11-25-5,211,298,-87,2-8-0,L3,e -- PHI Philadelphia Flyers,2021,20
82,27,49,6,60,24,3,1,16-22-3,11-27-3,216,285,-69,4-6-0,L1,e -- SEA Seattle Kraken,2021,23
82,25,50,7,57,24,1,4,11-27-3,14-23-4,207,313,-106,3-5-2,W3,e -- ARI Arizona Coyotes,2021,18
82,22,49,11,55,19,3,2,11-26-4,11-23-7,221,319,-98,2-8-0,W2,e -- MTL Montreal Canadiens,2021,16
