Home,Away,Year
San Jose Earthquakes,DC United,2012
Chivas USA,Chicago Fire FC,2012
Toronto FC,DC United,2012
Seattle Sounders FC,Philadelphia Union,2012
Vancouver Whitecaps,San Jose Earthquakes,2012
LA Galaxy,New York Red Bulls,2012
Sporting Kansas City,Montreal Impact,2012
Real Salt Lake,New England Revolution,2012
Portland Timbers,Columbus Crew SC,2012
FC Dallas,Colorado Rapids,2012
New York Red Bulls,Houston Dynamo,2012
Chicago Fire FC,Real Salt Lake,2012
FC Dallas,Seattle Sounders FC,2012
Montreal Impact,LA Galaxy,2012
Houston Dynamo,DC United,2012
Columbus Crew SC,FC Dallas,2012
New England Revolution,Vancouver Whitecaps,2012
Chicago Fire FC,Sporting Kansas City,2012
Seattle Sounders FC,Real Salt Lake,2012
Philadelphia Union,New York Red Bulls,2012
San Jose Earthquakes,Chivas USA,2012
Houston Dynamo,Portland Timbers,2012
DC United,Colorado Rapids,2012
Vancouver Whitecaps,Seattle Sounders FC,2012
DC United,Toronto FC,2012
Montreal Impact,New York Red Bulls,2012
New England Revolution,Houston Dynamo,2012
FC Dallas,Philadelphia Union,2012
Colorado Rapids,Sporting Kansas City,2012
Chivas USA,LA Galaxy,2012
San Jose Earthquakes,Columbus Crew SC,2012
Portland Timbers,Chicago Fire FC,2012
New York Red Bulls,Chivas USA,2012
Chicago Fire FC,FC Dallas,2012
Seattle Sounders FC,Columbus Crew SC,2012
LA Galaxy,San Jose Earthquakes,2012
Houston Dynamo,LA Galaxy,2012
Toronto FC,Philadelphia Union,2012
Columbus Crew SC,Chicago Fire FC,2012
DC United,New England Revolution,2012
Colorado Rapids,Montreal Impact,2012
Real Salt Lake,FC Dallas,2012
Portland Timbers,Vancouver Whitecaps,2012
Chivas USA,Seattle Sounders FC,2012
Sporting Kansas City,San Jose Earthquakes,2012
New England Revolution,Chicago Fire FC,2012
Vancouver Whitecaps,Houston Dynamo,2012
Philadelphia Union,DC United,2012
Vancouver Whitecaps,Colorado Rapids,2012
Houston Dynamo,FC Dallas,2012
Montreal Impact,Seattle Sounders FC,2012
New England Revolution,Columbus Crew SC,2012
Sporting Kansas City,Toronto FC,2012
Chivas USA,Real Salt Lake,2012
Chicago Fire FC,New York Red Bulls,2012
LA Galaxy,Portland Timbers,2012
Houston Dynamo,Toronto FC,2012
Real Salt Lake,LA Galaxy,2012
Colorado Rapids,San Jose Earthquakes,2012
Seattle Sounders FC,Sporting Kansas City,2012
Chivas USA,Montreal Impact,2012
Vancouver Whitecaps,New York Red Bulls,2012
Toronto FC,New England Revolution,2012
Philadelphia Union,Sporting Kansas City,2012
Montreal Impact,Houston Dynamo,2012
Chicago Fire FC,Columbus Crew SC,2012
FC Dallas,Chivas USA,2012
Real Salt Lake,San Jose Earthquakes,2012
LA Galaxy,Vancouver Whitecaps,2012
Portland Timbers,Seattle Sounders FC,2012
New York Red Bulls,DC United,2012
Montreal Impact,Toronto FC,2012
Sporting Kansas City,Chicago Fire FC,2012
Toronto FC,New York Red Bulls,2012
DC United,Montreal Impact,2012
New England Revolution,Seattle Sounders FC,2012
Houston Dynamo,Philadelphia Union,2012
Colorado Rapids,Portland Timbers,2012
Columbus Crew SC,Real Salt Lake,2012
San Jose Earthquakes,LA Galaxy,2012
Houston Dynamo,Chicago Fire FC,2012
Portland Timbers,San Jose Earthquakes,2012
Montreal Impact,Sporting Kansas City,2012
FC Dallas,Toronto FC,2012
Colorado Rapids,Vancouver Whitecaps,2012
Real Salt Lake,Seattle Sounders FC,2012
LA Galaxy,Philadelphia Union,2012
Sporting Kansas City,Houston Dynamo,2012
FC Dallas,San Jose Earthquakes,2012
Real Salt Lake,Portland Timbers,2012
Chivas USA,Vancouver Whitecaps,2012
Seattle Sounders FC,Colorado Rapids,2012
Chicago Fire FC,LA Galaxy,2012
Philadelphia Union,Toronto FC,2012
New England Revolution,New York Red Bulls,2012
Montreal Impact,Columbus Crew SC,2012
Toronto FC,Vancouver Whitecaps,2012
Philadelphia Union,Montreal Impact,2012
Columbus Crew SC,Sporting Kansas City,2012
New England Revolution,Toronto FC,2012
Chicago Fire FC,Vancouver Whitecaps,2012
Colorado Rapids,FC Dallas,2012
San Jose Earthquakes,Real Salt Lake,2012
Portland Timbers,LA Galaxy,2012
New York Red Bulls,Seattle Sounders FC,2012
Houston Dynamo,DC United,2012
New York Red Bulls,Chicago Fire FC,2012
Chivas USA,Portland Timbers,2012
Toronto FC,Colorado Rapids,2012
Montreal Impact,New England Revolution,2012
Houston Dynamo,Sporting Kansas City,2012
Vancouver Whitecaps,LA Galaxy,2012
San Jose Earthquakes,FC Dallas,2012
New York Red Bulls,Philadelphia Union,2012
Columbus Crew SC,DC United,2012
Houston Dynamo,Montreal Impact,2012
Sporting Kansas City,New England Revolution,2012
FC Dallas,Portland Timbers,2012
LA Galaxy,Chivas USA,2012
Real Salt Lake,Colorado Rapids,2012
Vancouver Whitecaps,San Jose Earthquakes,2012
Real Salt Lake,Vancouver Whitecaps,2012
Toronto FC,Houston Dynamo,2012
Montreal Impact,New York Red Bulls,2012
FC Dallas,LA Galaxy,2012
Sporting Kansas City,Columbus Crew SC,2012
Colorado Rapids,Seattle Sounders FC,2012
San Jose Earthquakes,Chicago Fire FC,2012
Portland Timbers,Chivas USA,2012
Philadelphia Union,New England Revolution,2012
Houston Dynamo,New York Red Bulls,2012
DC United,Columbus Crew SC,2012
Montreal Impact,Philadelphia Union,2012
New England Revolution,Sporting Kansas City,2012
Chicago Fire FC,Toronto FC,2012
Colorado Rapids,Real Salt Lake,2012
Portland Timbers,FC Dallas,2012
Seattle Sounders FC,LA Galaxy,2012
New York Red Bulls,Houston Dynamo,2012
Vancouver Whitecaps,Real Salt Lake,2012
Sporting Kansas City,DC United,2012
FC Dallas,Colorado Rapids,2012
San Jose Earthquakes,Seattle Sounders FC,2012
New England Revolution,Montreal Impact,2012
Philadelphia Union,Chicago Fire FC,2012
Chivas USA,LA Galaxy,2012
Columbus Crew SC,LA Galaxy,2012
Toronto FC,Portland Timbers,2012
Vancouver Whitecaps,FC Dallas,2012
Seattle Sounders FC,Vancouver Whitecaps,2012
Toronto FC,Sporting Kansas City,2012
Montreal Impact,San Jose Earthquakes,2012
Chicago Fire FC,New England Revolution,2012
Colorado Rapids,Chivas USA,2012
Real Salt Lake,FC Dallas,2012
DC United,Philadelphia Union,2012
New York Red Bulls,Portland Timbers,2012
Houston Dynamo,Columbus Crew SC,2012
Columbus Crew SC,Toronto FC,2012
DC United,Chicago Fire FC,2012
Philadelphia Union,Real Salt Lake,2012
Montreal Impact,DC United,2012
Columbus Crew SC,New England Revolution,2012
Houston Dynamo,Toronto FC,2012
Chivas USA,Seattle Sounders FC,2012
Portland Timbers,Vancouver Whitecaps,2012
San Jose Earthquakes,Colorado Rapids,2012
LA Galaxy,FC Dallas,2012
Sporting Kansas City,New York Red Bulls,2012
DC United,New York Red Bulls,2012
New England Revolution,Chivas USA,2012
Philadelphia Union,Columbus Crew SC,2012
Portland Timbers,Colorado Rapids,2012
Columbus Crew SC,Montreal Impact,2012
New England Revolution,Philadelphia Union,2012
Sporting Kansas City,Toronto FC,2012
Real Salt Lake,DC United,2012
LA Galaxy,Vancouver Whitecaps,2012
Chicago Fire FC,Houston Dynamo,2012
FC Dallas,Seattle Sounders FC,2012
San Jose Earthquakes,Chivas USA,2012
New England Revolution,Columbus Crew SC,2012
Colorado Rapids,Portland Timbers,2012
Houston Dynamo,Real Salt Lake,2012
Seattle Sounders FC,Chivas USA,2012
Toronto FC,Chicago Fire FC,2012
Sporting Kansas City,Houston Dynamo,2012
LA Galaxy,Colorado Rapids,2012
Toronto FC,Philadelphia Union,2012
Portland Timbers,Seattle Sounders FC,2012
New York Red Bulls,Columbus Crew SC,2012
DC United,New England Revolution,2012
Chicago Fire FC,Montreal Impact,2012
FC Dallas,Vancouver Whitecaps,2012
Chivas USA,San Jose Earthquakes,2012
New York Red Bulls,Sporting Kansas City,2012
Columbus Crew SC,Chivas USA,2012
San Jose Earthquakes,Portland Timbers,2012
Philadelphia Union,DC United,2012
Montreal Impact,Sporting Kansas City,2012
New England Revolution,New York Red Bulls,2012
Real Salt Lake,Portland Timbers,2012
Chicago Fire FC,Columbus Crew SC,2012
LA Galaxy,Toronto FC,2012
Seattle Sounders FC,San Jose Earthquakes,2012
Philadelphia Union,Houston Dynamo,2012
DC United,Chivas USA,2012
Vancouver Whitecaps,Colorado Rapids,2012
Sporting Kansas City,Chicago Fire FC,2012
New York Red Bulls,Toronto FC,2012
Columbus Crew SC,Philadelphia Union,2012
Houston Dynamo,New England Revolution,2012
Vancouver Whitecaps,Seattle Sounders FC,2012
Chivas USA,Real Salt Lake,2012
Portland Timbers,DC United,2012
San Jose Earthquakes,FC Dallas,2012
Colorado Rapids,LA Galaxy,2012
Chicago Fire FC,Philadelphia Union,2012
Vancouver Whitecaps,Chivas USA,2012
Toronto FC,DC United,2012
New York Red Bulls,Chicago Fire FC,2012
Philadelphia Union,New England Revolution,2012
Houston Dynamo,Montreal Impact,2012
Colorado Rapids,San Jose Earthquakes,2012
LA Galaxy,Real Salt Lake,2012
Columbus Crew SC,Sporting Kansas City,2012
Chivas USA,FC Dallas,2012
Seattle Sounders FC,Portland Timbers,2012
Seattle Sounders FC,Real Salt Lake,2012
Toronto FC,Montreal Impact,2012
New York Red Bulls,Sporting Kansas City,2012
DC United,Columbus Crew SC,2012
Houston Dynamo,Philadelphia Union,2012
New England Revolution,Chicago Fire FC,2012
Chivas USA,Colorado Rapids,2012
San Jose Earthquakes,LA Galaxy,2012
Vancouver Whitecaps,Portland Timbers,2012
Seattle Sounders FC,FC Dallas,2012
Sporting Kansas City,Philadelphia Union,2012
Philadelphia Union,New York Red Bulls,2012
Montreal Impact,New England Revolution,2012
Chicago Fire FC,DC United,2012
Portland Timbers,San Jose Earthquakes,2012
Colorado Rapids,Houston Dynamo,2012
Real Salt Lake,Vancouver Whitecaps,2012
Columbus Crew SC,Toronto FC,2012
FC Dallas,Chivas USA,2012
LA Galaxy,Seattle Sounders FC,2012
