Home,Away,Year
Houston Dynamo,New York City FC,2018
LA Galaxy,San Jose Earthquakes,2018
Seattle Sounders FC,Real Salt Lake,2018
Vancouver Whitecaps,New England Revolution,2018
New York Red Bulls,Philadelphia Union,2018
Orlando City SC,Chicago Fire FC,2018
Minnesota United FC,Montreal Impact,2018
Colorado Rapids,Portland Timbers,2018
LAFC,DC United,2018
Sporting Kansas City,Columbus Crew SC,2018
New England Revolution,Atlanta United FC,2018
Philadelphia Union,Chicago Fire FC,2018
Real Salt Lake,Houston Dynamo,2018
LA Galaxy,FC Dallas,2018
Colorado Rapids,Vancouver Whitecaps,2018
Portland Timbers,LA Galaxy,2018
Atlanta United FC,Philadelphia Union,2018
Columbus Crew SC,Toronto FC,2018
Montreal Impact,Houston Dynamo,2018
New England Revolution,New York Red Bulls,2018
New York City FC,Orlando City SC,2018
FC Dallas,LAFC,2018
Chicago Fire FC,San Jose Earthquakes,2018
Real Salt Lake,Seattle Sounders FC,2018
Sporting Kansas City,Minnesota United FC,2018
Philadelphia Union,Toronto FC,2018
New York City FC,Atlanta United FC,2018
Columbus Crew SC,New York Red Bulls,2018
Vancouver Whitecaps,Orlando City SC,2018
FC Dallas,Montreal Impact,2018
Chicago Fire FC,New England Revolution,2018
Houston Dynamo,Colorado Rapids,2018
Seattle Sounders FC,DC United,2018
LA Galaxy,Real Salt Lake,2018
Portland Timbers,Sporting Kansas City,2018
San Jose Earthquakes,LAFC,2018
Columbus Crew SC,Atlanta United FC,2018
Montreal Impact,Orlando City SC,2018
New York Red Bulls,Seattle Sounders FC,2018
Toronto FC,DC United,2018
Colorado Rapids,Chicago Fire FC,2018
San Jose Earthquakes,New England Revolution,2018
Philadelphia Union,Vancouver Whitecaps,2018
New York Red Bulls,FC Dallas,2018
Orlando City SC,Montreal Impact,2018
Sporting Kansas City,Houston Dynamo,2018
Colorado Rapids,Minnesota United FC,2018
Real Salt Lake,San Jose Earthquakes,2018
Seattle Sounders FC,Chicago Fire FC,2018
LAFC,Columbus Crew SC,2018
Atlanta United FC,Portland Timbers,2018
New York City FC,Toronto FC,2018
Minnesota United FC,FC Dallas,2018
Seattle Sounders FC,Portland Timbers,2018
Atlanta United FC,Orlando City SC,2018
Montreal Impact,Sporting Kansas City,2018
Columbus Crew SC,Real Salt Lake,2018
New England Revolution,DC United,2018
Chicago Fire FC,New York City FC,2018
LAFC,Philadelphia Union,2018
San Jose Earthquakes,LA Galaxy,2018
Toronto FC,New York Red Bulls,2018
Vancouver Whitecaps,Colorado Rapids,2018
Houston Dynamo,LAFC,2018
Minnesota United FC,Toronto FC,2018
FC Dallas,Atlanta United FC,2018
Colorado Rapids,Seattle Sounders FC,2018
Real Salt Lake,Sporting Kansas City,2018
LA Galaxy,DC United,2018
Philadelphia Union,Atlanta United FC,2018
Montreal Impact,Colorado Rapids,2018
New England Revolution,Seattle Sounders FC,2018
Sporting Kansas City,Toronto FC,2018
Houston Dynamo,Minnesota United FC,2018
Real Salt Lake,FC Dallas,2018
LA Galaxy,Columbus Crew SC,2018
Vancouver Whitecaps,Chicago Fire FC,2018
LAFC,Orlando City SC,2018
Portland Timbers,San Jose Earthquakes,2018
New York City FC,New York Red Bulls,2018
New York City FC,Montreal Impact,2018
Chicago Fire FC,Philadelphia Union,2018
New York City FC,Columbus Crew SC,2018
New York Red Bulls,Sporting Kansas City,2018
Montreal Impact,San Jose Earthquakes,2018
New England Revolution,LA Galaxy,2018
DC United,Vancouver Whitecaps,2018
FC Dallas,Chicago Fire FC,2018
Minnesota United FC,Real Salt Lake,2018
Orlando City SC,Toronto FC,2018
Colorado Rapids,Houston Dynamo,2018
Atlanta United FC,Seattle Sounders FC,2018
LAFC,Portland Timbers,2018
Minnesota United FC,New England Revolution,2018
Atlanta United FC,DC United,2018
Seattle Sounders FC,Vancouver Whitecaps,2018
Chicago Fire FC,Toronto FC,2018
New York Red Bulls,New England Revolution,2018
Philadelphia Union,LA Galaxy,2018
Columbus Crew SC,Orlando City SC,2018
Houston Dynamo,FC Dallas,2018
Real Salt Lake,Colorado Rapids,2018
Portland Timbers,Montreal Impact,2018
Minnesota United FC,LAFC,2018
Houston Dynamo,Philadelphia Union,2018
DC United,New York Red Bulls,2018
San Jose Earthquakes,Seattle Sounders FC,2018
Orlando City SC,New York City FC,2018
LAFC,LA Galaxy,2018
Montreal Impact,Atlanta United FC,2018
New York Red Bulls,Columbus Crew SC,2018
Toronto FC,Chicago Fire FC,2018
DC United,Colorado Rapids,2018
Sporting Kansas City,FC Dallas,2018
Vancouver Whitecaps,Minnesota United FC,2018
San Jose Earthquakes,Real Salt Lake,2018
Portland Timbers,Houston Dynamo,2018
Seattle Sounders FC,New York City FC,2018
LA Galaxy,Orlando City SC,2018
Atlanta United FC,Toronto FC,2018
Montreal Impact,DC United,2018
Orlando City SC,New England Revolution,2018
FC Dallas,San Jose Earthquakes,2018
Minnesota United FC,Seattle Sounders FC,2018
New York City FC,Vancouver Whitecaps,2018
Colorado Rapids,LA Galaxy,2018
Houston Dynamo,Sporting Kansas City,2018
Real Salt Lake,Chicago Fire FC,2018
Portland Timbers,Philadelphia Union,2018
New York Red Bulls,LAFC,2018
Columbus Crew SC,Houston Dynamo,2018
New England Revolution,Philadelphia Union,2018
Chicago Fire FC,New York Red Bulls,2018
Colorado Rapids,San Jose Earthquakes,2018
Real Salt Lake,Montreal Impact,2018
LA Galaxy,Minnesota United FC,2018
LAFC,Sporting Kansas City,2018
Portland Timbers,Vancouver Whitecaps,2018
Toronto FC,New York City FC,2018
DC United,Orlando City SC,2018
Seattle Sounders FC,FC Dallas,2018
LA Galaxy,Colorado Rapids,2018
DC United,Portland Timbers,2018
LAFC,Real Salt Lake,2018
Seattle Sounders FC,LA Galaxy,2018
Philadelphia Union,New York City FC,2018
Vancouver Whitecaps,New York Red Bulls,2018
Montreal Impact,Chicago Fire FC,2018
Sporting Kansas City,Portland Timbers,2018
Houston Dynamo,Real Salt Lake,2018
San Jose Earthquakes,Toronto FC,2018
FC Dallas,Minnesota United FC,2018
Atlanta United FC,Columbus Crew SC,2018
DC United,New England Revolution,2018
LAFC,Colorado Rapids,2018
New York City FC,New York Red Bulls,2018
Chicago Fire FC,Columbus Crew SC,2018
Houston Dynamo,FC Dallas,2018
Orlando City SC,Atlanta United FC,2018
LA Galaxy,LAFC,2018
Philadelphia Union,New England Revolution,2018
Toronto FC,Montreal Impact,2018
Sporting Kansas City,Minnesota United FC,2018
Colorado Rapids,Real Salt Lake,2018
San Jose Earthquakes,Vancouver Whitecaps,2018
New York Red Bulls,DC United,2018
Portland Timbers,Seattle Sounders FC,2018
DC United,Philadelphia Union,2018
New York Red Bulls,Houston Dynamo,2018
Portland Timbers,Toronto FC,2018
San Jose Earthquakes,FC Dallas,2018
Seattle Sounders FC,Sporting Kansas City,2018
Montreal Impact,New York Red Bulls,2018
New England Revolution,Portland Timbers,2018
Orlando City SC,Philadelphia Union,2018
Columbus Crew SC,New York City FC,2018
FC Dallas,Houston Dynamo,2018
Toronto FC,LAFC,2018
Real Salt Lake,LA Galaxy,2018
Vancouver Whitecaps,San Jose Earthquakes,2018
DC United,Atlanta United FC,2018
New York City FC,New England Revolution,2018
New York City FC,DC United,2018
Sporting Kansas City,Orlando City SC,2018
Portland Timbers,Colorado Rapids,2018
DC United,Minnesota United FC,2018
Colorado Rapids,Atlanta United FC,2018
Philadelphia Union,Montreal Impact,2018
Toronto FC,LA Galaxy,2018
FC Dallas,Columbus Crew SC,2018
Houston Dynamo,Portland Timbers,2018
Real Salt Lake,Minnesota United FC,2018
Vancouver Whitecaps,Seattle Sounders FC,2018
LAFC,New England Revolution,2018
San Jose Earthquakes,Sporting Kansas City,2018
DC United,New York Red Bulls,2018
Chicago Fire FC,Orlando City SC,2018
Portland Timbers,Columbus Crew SC,2018
San Jose Earthquakes,Atlanta United FC,2018
Seattle Sounders FC,Philadelphia Union,2018
LAFC,San Jose Earthquakes,2018
New York Red Bulls,Toronto FC,2018
Atlanta United FC,Real Salt Lake,2018
Columbus Crew SC,Colorado Rapids,2018
Montreal Impact,New York City FC,2018
New England Revolution,Chicago Fire FC,2018
Orlando City SC,Houston Dynamo,2018
Minnesota United FC,Portland Timbers,2018
Philadelphia Union,Sporting Kansas City,2018
LA Galaxy,Seattle Sounders FC,2018
Vancouver Whitecaps,FC Dallas,2018
New York City FC,Chicago Fire FC,2018
Chicago Fire FC,LAFC,2018
Seattle Sounders FC,Colorado Rapids,2018
DC United,Montreal Impact,2018
Columbus Crew SC,Philadelphia Union,2018
Toronto FC,New England Revolution,2018
Minnesota United FC,New York City FC,2018
Houston Dynamo,San Jose Earthquakes,2018
LA Galaxy,Vancouver Whitecaps,2018
Portland Timbers,FC Dallas,2018
New York Red Bulls,Atlanta United FC,2018
Sporting Kansas City,Real Salt Lake,2018
Montreal Impact,Columbus Crew SC,2018
Atlanta United FC,New England Revolution,2018
Toronto FC,Vancouver Whitecaps,2018
Philadelphia Union,Minnesota United FC,2018
FC Dallas,Orlando City SC,2018
Sporting Kansas City,LA Galaxy,2018
Colorado Rapids,LAFC,2018
Real Salt Lake,Portland Timbers,2018
San Jose Earthquakes,New York Red Bulls,2018
DC United,Chicago Fire FC,2018
Seattle Sounders FC,Houston Dynamo,2018
LAFC,Houston Dynamo,2018
Minnesota United FC,Colorado Rapids,2018
DC United,FC Dallas,2018
New England Revolution,Orlando City SC,2018
DC United,Toronto FC,2018
Orlando City SC,Seattle Sounders FC,2018
Vancouver Whitecaps,Sporting Kansas City,2018
Real Salt Lake,New England Revolution,2018
Atlanta United FC,Chicago Fire FC,2018
DC United,New York City FC,2018
Montreal Impact,Toronto FC,2018
Orlando City SC,Columbus Crew SC,2018
Philadelphia Union,New York Red Bulls,2018
FC Dallas,Sporting Kansas City,2018
Houston Dynamo,Seattle Sounders FC,2018
LAFC,Vancouver Whitecaps,2018
Minnesota United FC,LA Galaxy,2018
Portland Timbers,Real Salt Lake,2018
San Jose Earthquakes,Colorado Rapids,2018
Chicago Fire FC,DC United,2018
Colorado Rapids,FC Dallas,2018
Columbus Crew SC,Minnesota United FC,2018
LA Galaxy,Houston Dynamo,2018
New England Revolution,Montreal Impact,2018
New York City FC,Philadelphia Union,2018
New York Red Bulls,Orlando City SC,2018
Seattle Sounders FC,San Jose Earthquakes,2018
Sporting Kansas City,LAFC,2018
Toronto FC,Atlanta United FC,2018
Vancouver Whitecaps,Portland Timbers,2018
