Home,Away,Year
Columbus Crew SC,Montreal Impact,2016
Toronto FC,FC Dallas,2016
Houston Dynamo,Sporting Kansas City,2016
Colorado Rapids,Real Salt Lake,2016
Seattle Sounders FC,San Jose Earthquakes,2016
LA Galaxy,New England Revolution,2016
DC United,New York City FC,2016
Philadelphia Union,LA Galaxy,2016
Colorado Rapids,Sporting Kansas City,2016
FC Dallas,Portland Timbers,2016
Vancouver Whitecaps,Chicago Fire FC,2016
San Jose Earthquakes,Houston Dynamo,2016
DC United,New York Red Bulls,2016
Montreal Impact,Philadelphia Union,2016
Columbus Crew SC,Colorado Rapids,2016
New England Revolution,Chicago Fire FC,2016
Toronto FC,Vancouver Whitecaps,2016
FC Dallas,Seattle Sounders FC,2016
Houston Dynamo,Real Salt Lake,2016
Sporting Kansas City,Orlando City SC,2016
Portland Timbers,New York City FC,2016
Toronto FC,New York City FC,2016
New York Red Bulls,Chicago Fire FC,2016
Philadelphia Union,DC United,2016
New York City FC,New York Red Bulls,2016
Chicago Fire FC,Houston Dynamo,2016
Toronto FC,Columbus Crew SC,2016
New England Revolution,FC Dallas,2016
Orlando City SC,Montreal Impact,2016
Sporting Kansas City,Real Salt Lake,2016
Seattle Sounders FC,Colorado Rapids,2016
Portland Timbers,Vancouver Whitecaps,2016
LA Galaxy,San Jose Earthquakes,2016
Orlando City SC,Philadelphia Union,2016
Sporting Kansas City,DC United,2016
Vancouver Whitecaps,Houston Dynamo,2016
New York Red Bulls,Toronto FC,2016
Columbus Crew SC,Real Salt Lake,2016
New England Revolution,Seattle Sounders FC,2016
Montreal Impact,LA Galaxy,2016
Chicago Fire FC,Portland Timbers,2016
Colorado Rapids,Philadelphia Union,2016
San Jose Earthquakes,FC Dallas,2016
New York City FC,Orlando City SC,2016
Philadelphia Union,Columbus Crew SC,2016
DC United,Seattle Sounders FC,2016
Portland Timbers,San Jose Earthquakes,2016
New York City FC,Real Salt Lake,2016
FC Dallas,Houston Dynamo,2016
LA Galaxy,Sporting Kansas City,2016
New York City FC,Philadelphia Union,2016
Vancouver Whitecaps,New England Revolution,2016
Columbus Crew SC,Montreal Impact,2016
Orlando City SC,San Jose Earthquakes,2016
Toronto FC,LA Galaxy,2016
Colorado Rapids,Chicago Fire FC,2016
Houston Dynamo,DC United,2016
Real Salt Lake,Portland Timbers,2016
Sporting Kansas City,FC Dallas,2016
New York Red Bulls,Seattle Sounders FC,2016
Philadelphia Union,Chicago Fire FC,2016
Real Salt Lake,New York Red Bulls,2016
LA Galaxy,Colorado Rapids,2016
Seattle Sounders FC,New York City FC,2016
DC United,New England Revolution,2016
Philadelphia Union,Vancouver Whitecaps,2016
Columbus Crew SC,New York Red Bulls,2016
Montreal Impact,Sporting Kansas City,2016
Orlando City SC,Toronto FC,2016
FC Dallas,Real Salt Lake,2016
San Jose Earthquakes,LA Galaxy,2016
Portland Timbers,Houston Dynamo,2016
Chicago Fire FC,San Jose Earthquakes,2016
Real Salt Lake,DC United,2016
Montreal Impact,New England Revolution,2016
Toronto FC,Seattle Sounders FC,2016
Houston Dynamo,Philadelphia Union,2016
New York City FC,New York Red Bulls,2016
Sporting Kansas City,Columbus Crew SC,2016
Colorado Rapids,Portland Timbers,2016
FC Dallas,Orlando City SC,2016
LA Galaxy,Vancouver Whitecaps,2016
New England Revolution,New York City FC,2016
Orlando City SC,Houston Dynamo,2016
San Jose Earthquakes,FC Dallas,2016
Seattle Sounders FC,LA Galaxy,2016
Philadelphia Union,DC United,2016
New England Revolution,Columbus Crew SC,2016
Toronto FC,Chicago Fire FC,2016
Real Salt Lake,Montreal Impact,2016
Vancouver Whitecaps,Colorado Rapids,2016
New York Red Bulls,Portland Timbers,2016
Sporting Kansas City,New York City FC,2016
Columbus Crew SC,Toronto FC,2016
New York Red Bulls,Orlando City SC,2016
Chicago Fire FC,Sporting Kansas City,2016
Portland Timbers,Montreal Impact,2016
Seattle Sounders FC,FC Dallas,2016
Vancouver Whitecaps,Real Salt Lake,2016
LA Galaxy,Houston Dynamo,2016
Columbus Crew SC,DC United,2016
Colorado Rapids,Sporting Kansas City,2016
FC Dallas,Chicago Fire FC,2016
Real Salt Lake,New England Revolution,2016
Vancouver Whitecaps,Orlando City SC,2016
San Jose Earthquakes,Toronto FC,2016
Portland Timbers,Seattle Sounders FC,2016
Montreal Impact,New York City FC,2016
Philadelphia Union,New York Red Bulls,2016
Real Salt Lake,San Jose Earthquakes,2016
Portland Timbers,LA Galaxy,2016
Columbus Crew SC,Orlando City SC,2016
Montreal Impact,Philadelphia Union,2016
New England Revolution,Chicago Fire FC,2016
Toronto FC,DC United,2016
Colorado Rapids,FC Dallas,2016
Houston Dynamo,Vancouver Whitecaps,2016
New York Red Bulls,New York City FC,2016
Sporting Kansas City,Seattle Sounders FC,2016
New York City FC,Colorado Rapids,2016
Sporting Kansas City,Portland Timbers,2016
Seattle Sounders FC,LA Galaxy,2016
FC Dallas,Vancouver Whitecaps,2016
DC United,Montreal Impact,2016
Chicago Fire FC,New York Red Bulls,2016
Philadelphia Union,Real Salt Lake,2016
Orlando City SC,New England Revolution,2016
Toronto FC,Columbus Crew SC,2016
Houston Dynamo,San Jose Earthquakes,2016
Toronto FC,Real Salt Lake,2016
San Jose Earthquakes,New York City FC,2016
DC United,Philadelphia Union,2016
Montreal Impact,Houston Dynamo,2016
Toronto FC,New England Revolution,2016
Colorado Rapids,Vancouver Whitecaps,2016
Real Salt Lake,Chicago Fire FC,2016
Portland Timbers,Sporting Kansas City,2016
Orlando City SC,Seattle Sounders FC,2016
LA Galaxy,New York Red Bulls,2016
Vancouver Whitecaps,San Jose Earthquakes,2016
New York Red Bulls,Montreal Impact,2016
Columbus Crew SC,New York City FC,2016
New England Revolution,Philadelphia Union,2016
DC United,Portland Timbers,2016
FC Dallas,Sporting Kansas City,2016
LA Galaxy,Colorado Rapids,2016
Chicago Fire FC,Orlando City SC,2016
Seattle Sounders FC,Real Salt Lake,2016
Houston Dynamo,Toronto FC,2016
San Jose Earthquakes,Houston Dynamo,2016
New York City FC,LA Galaxy,2016
Philadelphia Union,Toronto FC,2016
Montreal Impact,Chicago Fire FC,2016
New England Revolution,Columbus Crew SC,2016
Colorado Rapids,Orlando City SC,2016
Real Salt Lake,FC Dallas,2016
Sporting Kansas City,Vancouver Whitecaps,2016
DC United,New York Red Bulls,2016
Seattle Sounders FC,Portland Timbers,2016
Columbus Crew SC,Philadelphia Union,2016
Montreal Impact,DC United,2016
Orlando City SC,Toronto FC,2016
Chicago Fire FC,LA Galaxy,2016
Houston Dynamo,Seattle Sounders FC,2016
San Jose Earthquakes,New England Revolution,2016
Real Salt Lake,Colorado Rapids,2016
DC United,Chicago Fire FC,2016
Philadelphia Union,Sporting Kansas City,2016
Columbus Crew SC,San Jose Earthquakes,2016
Toronto FC,Montreal Impact,2016
Houston Dynamo,FC Dallas,2016
LA Galaxy,Vancouver Whitecaps,2016
New York Red Bulls,New England Revolution,2016
Portland Timbers,Seattle Sounders FC,2016
Orlando City SC,New York City FC,2016
New York City FC,DC United,2016
Vancouver Whitecaps,New York Red Bulls,2016
New England Revolution,Colorado Rapids,2016
Chicago Fire FC,Philadelphia Union,2016
FC Dallas,Portland Timbers,2016
LA Galaxy,Columbus Crew SC,2016
Montreal Impact,Orlando City SC,2016
Real Salt Lake,LA Galaxy,2016
Sporting Kansas City,Houston Dynamo,2016
Philadelphia Union,Montreal Impact,2016
Columbus Crew SC,Vancouver Whitecaps,2016
New England Revolution,New York City FC,2016
Chicago Fire FC,Toronto FC,2016
FC Dallas,Colorado Rapids,2016
Portland Timbers,Real Salt Lake,2016
San Jose Earthquakes,Seattle Sounders FC,2016
New York Red Bulls,DC United,2016
LA Galaxy,Orlando City SC,2016
Chicago Fire FC,DC United,2016
Seattle Sounders FC,Vancouver Whitecaps,2016
Portland Timbers,Philadelphia Union,2016
New York City FC,FC Dallas,2016
Montreal Impact,New England Revolution,2016
Orlando City SC,Columbus Crew SC,2016
Colorado Rapids,San Jose Earthquakes,2016
Real Salt Lake,Houston Dynamo,2016
Sporting Kansas City,LA Galaxy,2016
Toronto FC,New York Red Bulls,2016
New York City FC,Chicago Fire FC,2016
Toronto FC,Philadelphia Union,2016
DC United,Orlando City SC,2016
New York Red Bulls,Montreal Impact,2016
Vancouver Whitecaps,Colorado Rapids,2016
Houston Dynamo,Portland Timbers,2016
Real Salt Lake,FC Dallas,2016
San Jose Earthquakes,Sporting Kansas City,2016
LA Galaxy,Seattle Sounders FC,2016
Columbus Crew SC,New England Revolution,2016
DC United,Columbus Crew SC,2016
Montreal Impact,San Jose Earthquakes,2016
Toronto FC,Orlando City SC,2016
Seattle Sounders FC,Chicago Fire FC,2016
Houston Dynamo,New York City FC,2016
New York Red Bulls,Philadelphia Union,2016
Columbus Crew SC,Chicago Fire FC,2016
New England Revolution,Sporting Kansas City,2016
Toronto FC,DC United,2016
Colorado Rapids,Portland Timbers,2016
FC Dallas,LA Galaxy,2016
San Jose Earthquakes,Real Salt Lake,2016
Orlando City SC,Montreal Impact,2016
Vancouver Whitecaps,Seattle Sounders FC,2016
Houston Dynamo,Colorado Rapids,2016
Seattle Sounders FC,Houston Dynamo,2016
Chicago Fire FC,Columbus Crew SC,2016
Colorado Rapids,San Jose Earthquakes,2016
Chicago Fire FC,New England Revolution,2016
DC United,New York City FC,2016
Montreal Impact,Toronto FC,2016
New York Red Bulls,Columbus Crew SC,2016
Philadelphia Union,Orlando City SC,2016
FC Dallas,Seattle Sounders FC,2016
Houston Dynamo,LA Galaxy,2016
Portland Timbers,Colorado Rapids,2016
Real Salt Lake,Sporting Kansas City,2016
San Jose Earthquakes,Vancouver Whitecaps,2016
Colorado Rapids,Houston Dynamo,2016
LA Galaxy,FC Dallas,2016
New England Revolution,Montreal Impact,2016
New York City FC,Columbus Crew SC,2016
Orlando City SC,DC United,2016
Philadelphia Union,New York Red Bulls,2016
Seattle Sounders FC,Real Salt Lake,2016
Sporting Kansas City,San Jose Earthquakes,2016
Toronto FC,Chicago Fire FC,2016
Vancouver Whitecaps,Portland Timbers,2016
