Home,Away,Year
Real Salt Lake,Nashville SC,2021
San Jose Earthquakes,Portland Timbers,2021
Sporting Kansas City,Vancouver Whitecaps,2021
FC Cincinnati,Inter Miami CF,2021
New England Revolution,Columbus Crew,2021
DC United,Orlando City SC,2021
Seattle Sounders FC,LAFC,2021
CF Montréal,FC Cincinnati,2021
Portland Timbers,LA Galaxy,2021
Chicago Fire FC,Inter Miami CF,2021
Orlando City SC,Toronto FC,2021
New York City FC,Columbus Crew,2021
FC Dallas,Real Salt Lake,2021
New England Revolution,New York Red Bulls,2021
Houston Dynamo FC,Vancouver Whitecaps,2021
San Jose Earthquakes,Sporting Kansas City,2021
LAFC,Colorado Rapids,2021
Seattle Sounders FC,Atlanta United FC,2021
DC United,Philadelphia Union,2021
Nashville SC,Austin FC,2021
Chicago Fire FC,CF Montréal,2021
New York Red Bulls,Orlando City SC,2021
Columbus Crew,Toronto FC,2021
FC Cincinnati,New England Revolution,2021
Atlanta United FC,Nashville SC,2021
LAFC,New York City FC,2021
LA Galaxy,San Jose Earthquakes,2021
Inter Miami CF,DC United,2021
Sporting Kansas City,Houston Dynamo FC,2021
Colorado Rapids,FC Dallas,2021
Real Salt Lake,Minnesota United FC,2021
Philadelphia Union,Portland Timbers,2021
Seattle Sounders FC,Austin FC,2021
Sporting Kansas City,Austin FC,2021
New York Red Bulls,Nashville SC,2021
Real Salt Lake,Vancouver Whitecaps,2021
Columbus Crew,Chicago Fire FC,2021
FC Cincinnati,Colorado Rapids,2021
New York City FC,New England Revolution,2021
Toronto FC,Orlando City SC,2021
DC United,Inter Miami CF,2021
FC Dallas,Minnesota United FC,2021
Austin FC,San Jose Earthquakes,2021
LA Galaxy,Seattle Sounders FC,2021
Portland Timbers,Sporting Kansas City,2021
LAFC,Houston Dynamo FC,2021
Atlanta United FC,Philadelphia Union,2021
Orlando City SC,San Jose Earthquakes,2021
New England Revolution,New York Red Bulls,2021
New York City FC,Atlanta United FC,2021
Philadelphia Union,Columbus Crew,2021
CF Montréal,DC United,2021
Chicago Fire FC,FC Cincinnati,2021
Minnesota United FC,Austin FC,2021
Houston Dynamo FC,Portland Timbers,2021
Nashville SC,Toronto FC,2021
Sporting Kansas City,Colorado Rapids,2021
Seattle Sounders FC,Real Salt Lake,2021
LAFC,FC Dallas,2021
Vancouver Whitecaps,LA Galaxy,2021
Inter Miami CF,Orlando City SC,2021
Sporting Kansas City,LAFC,2021
Toronto FC,FC Cincinnati,2021
Chicago Fire FC,Philadelphia Union,2021
Real Salt Lake,Houston Dynamo FC,2021
Nashville SC,CF Montréal,2021
Seattle Sounders FC,Vancouver Whitecaps,2021
San Jose Earthquakes,LA Galaxy,2021
Portland Timbers,Minnesota United FC,2021
Atlanta United FC,New York Red Bulls,2021
New York City FC,DC United,2021
Austin FC,Columbus Crew,2021
FC Dallas,New England Revolution,2021
Austin FC,Portland Timbers,2021
Columbus Crew,New England Revolution,2021
DC United,Toronto FC,2021
CF Montréal,Inter Miami CF,2021
Orlando City SC,New York Red Bulls,2021
Chicago Fire FC,Atlanta United FC,2021
Minnesota United FC,San Jose Earthquakes,2021
Nashville SC,Philadelphia Union,2021
Houston Dynamo FC,FC Cincinnati,2021
Real Salt Lake,LAFC,2021
FC Dallas,Vancouver Whitecaps,2021
Colorado Rapids,Seattle Sounders FC,2021
LA Galaxy,Sporting Kansas City,2021
New England Revolution,Toronto FC,2021
CF Montréal,New York City FC,2021
Chicago Fire FC,Orlando City SC,2021
Austin FC,LAFC,2021
Colorado Rapids,Minnesota United FC,2021
Seattle Sounders FC,Houston Dynamo FC,2021
Vancouver Whitecaps,Real Salt Lake,2021
LA Galaxy,FC Dallas,2021
Nashville SC,Atlanta United FC,2021
New York Red Bulls,Philadelphia Union,2021
FC Cincinnati,Columbus Crew,2021
Atlanta United FC,New England Revolution,2021
CF Montréal,FC Cincinnati,2021
Columbus Crew,New York City FC,2021
Philadelphia Union,DC United,2021
Toronto FC,Orlando City SC,2021
Nashville SC,Chicago Fire FC,2021
Colorado Rapids,San Jose Earthquakes,2021
Vancouver Whitecaps,LA Galaxy,2021
LAFC,Real Salt Lake,2021
Portland Timbers,FC Dallas,2021
Minnesota United FC,Seattle Sounders FC,2021
Vancouver Whitecaps,Houston Dynamo FC,2021
Columbus Crew,Nashville SC,2021
Inter Miami CF,New England Revolution,2021
New York City FC,CF Montréal,2021
Toronto FC,New York Red Bulls,2021
Chicago Fire FC,DC United,2021
FC Cincinnati,Atlanta United FC,2021
Sporting Kansas City,San Jose Earthquakes,2021
Colorado Rapids,FC Dallas,2021
Real Salt Lake,LA Galaxy,2021
Portland Timbers,LAFC,2021
Orlando City SC,Philadelphia Union,2021
Austin FC,Seattle Sounders FC,2021
Atlanta United FC,Columbus Crew,2021
Chicago Fire FC,Toronto FC,2021
Minnesota United FC,Portland Timbers,2021
FC Dallas,LA Galaxy,2021
Nashville SC,FC Cincinnati,2021
Real Salt Lake,Colorado Rapids,2021
San Jose Earthquakes,Houston Dynamo FC,2021
LAFC,Vancouver Whitecaps,2021
New England Revolution,CF Montréal,2021
New York City FC,Orlando City SC,2021
Inter Miami CF,Philadelphia Union,2021
DC United,New York Red Bulls,2021
Seattle Sounders FC,Sporting Kansas City,2021
LAFC,Minnesota United FC,2021
New York City FC,Columbus Crew,2021
Orlando City SC,Atlanta United FC,2021
LA Galaxy,Portland Timbers,2021
Seattle Sounders FC,San Jose Earthquakes,2021
New York Red Bulls,New England Revolution,2021
FC Cincinnati,DC United,2021
Inter Miami CF,CF Montréal,2021
Houston Dynamo FC,Real Salt Lake,2021
Sporting Kansas City,FC Dallas,2021
Austin FC,Colorado Rapids,2021
Vancouver Whitecaps,Minnesota United FC,2021
Philadelphia Union,Chicago Fire FC,2021
Toronto FC,Nashville SC,2021
New England Revolution,Nashville SC,2021
CF Montréal,Atlanta United FC,2021
Columbus Crew,DC United,2021
Philadelphia Union,Toronto FC,2021
Chicago Fire FC,New York City FC,2021
New York Red Bulls,FC Cincinnati,2021
Orlando City SC,Inter Miami CF,2021
Austin FC,Houston Dynamo FC,2021
Seattle Sounders FC,FC Dallas,2021
LA Galaxy,Real Salt Lake,2021
LAFC,Sporting Kansas City,2021
Portland Timbers,San Jose Earthquakes,2021
Columbus Crew,Atlanta United FC,2021
FC Cincinnati,Orlando City SC,2021
Minnesota United FC,Houston Dynamo FC,2021
Toronto FC,New York City FC,2021
FC Dallas,Austin FC,2021
Colorado Rapids,Sporting Kansas City,2021
Portland Timbers,Real Salt Lake,2021
Chicago Fire FC,New York Red Bulls,2021
Inter Miami CF,Nashville SC,2021
New England Revolution,Philadelphia Union,2021
San Jose Earthquakes,LAFC,2021
DC United,CF Montréal,2021
LA Galaxy,Vancouver Whitecaps,2021
San Jose Earthquakes,Vancouver Whitecaps,2021
Minnesota United FC,LA Galaxy,2021
CF Montréal,New York Red Bulls,2021
New York City FC,Inter Miami CF,2021
Toronto FC,New England Revolution,2021
FC Dallas,Sporting Kansas City,2021
Houston Dynamo FC,Colorado Rapids,2021
Real Salt Lake,Austin FC,2021
Atlanta United FC,LAFC,2021
Chicago Fire FC,Columbus Crew,2021
Nashville SC,DC United,2021
Portland Timbers,Seattle Sounders FC,2021
LA Galaxy,Colorado Rapids,2021
San Jose Earthquakes,Minnesota United FC,2021
Atlanta United FC,Toronto FC,2021
New England Revolution,DC United,2021
FC Cincinnati,CF Montréal,2021
Inter Miami CF,Chicago Fire FC,2021
Philadelphia Union,New York City FC,2021
New York Red Bulls,Columbus Crew,2021
FC Dallas,Seattle Sounders FC,2021
Nashville SC,Orlando City SC,2021
Sporting Kansas City,Portland Timbers,2021
Austin FC,Vancouver Whitecaps,2021
Real Salt Lake,Houston Dynamo FC,2021
LA Galaxy,San Jose Earthquakes,2021
Minnesota United FC,Sporting Kansas City,2021
Columbus Crew,Seattle Sounders FC,2021
DC United,Atlanta United FC,2021
Inter Miami CF,Toronto FC,2021
New England Revolution,FC Cincinnati,2021
Philadelphia Union,CF Montréal,2021
Houston Dynamo FC,FC Dallas,2021
Orlando City SC,Chicago Fire FC,2021
Austin FC,Portland Timbers,2021
Colorado Rapids,Real Salt Lake,2021
Vancouver Whitecaps,LAFC,2021
Columbus Crew,FC Cincinnati,2021
CF Montréal,Toronto FC,2021
Orlando City SC,Inter Miami CF,2021
Atlanta United FC,Nashville SC,2021
New York Red Bulls,Chicago Fire FC,2021
LAFC,LA Galaxy,2021
New York City FC,New England Revolution,2021
DC United,Philadelphia Union,2021
Houston Dynamo FC,Minnesota United FC,2021
Sporting Kansas City,Colorado Rapids,2021
Austin FC,FC Dallas,2021
Vancouver Whitecaps,Real Salt Lake,2021
Seattle Sounders FC,Portland Timbers,2021
Nashville SC,New York City FC,2021
Philadelphia Union,New England Revolution,2021
Houston Dynamo FC,Portland Timbers,2021
LAFC,Sporting Kansas City,2021
Vancouver Whitecaps,Austin FC,2021
Orlando City SC,Columbus Crew,2021
FC Cincinnati,Inter Miami CF,2021
Real Salt Lake,FC Dallas,2021
San Jose Earthquakes,Colorado Rapids,2021
Atlanta United FC,Orlando City SC,2021
Vancouver Whitecaps,Portland Timbers,2021
Colorado Rapids,LA Galaxy,2021
Seattle Sounders FC,Minnesota United FC,2021
New England Revolution,New York City FC,2021
New York Red Bulls,DC United,2021
CF Montréal,Nashville SC,2021
FC Cincinnati,Toronto FC,2021
Inter Miami CF,Columbus Crew,2021
FC Dallas,San Jose Earthquakes,2021
Houston Dynamo FC,Austin FC,2021
Sporting Kansas City,Chicago Fire FC,2021
LAFC,Real Salt Lake,2021
Columbus Crew,New York Red Bulls,2021
New York City FC,FC Dallas,2021
Toronto FC,Inter Miami CF,2021
Atlanta United FC,FC Cincinnati,2021
DC United,Chicago Fire FC,2021
Orlando City SC,CF Montréal,2021
Sporting Kansas City,Minnesota United FC,2021
Austin FC,LAFC,2021
Portland Timbers,Colorado Rapids,2021
LA Galaxy,Houston Dynamo FC,2021
San Jose Earthquakes,Real Salt Lake,2021
Inter Miami CF,New York Red Bulls,2021
Atlanta United FC,DC United,2021
New England Revolution,Columbus Crew,2021
FC Cincinnati,New York City FC,2021
Toronto FC,Nashville SC,2021
Austin FC,San Jose Earthquakes,2021
Minnesota United FC,LA Galaxy,2021
Houston Dynamo FC,FC Dallas,2021
Real Salt Lake,Seattle Sounders FC,2021
CF Montréal,Chicago Fire FC,2021
Philadelphia Union,Orlando City SC,2021
Portland Timbers,LAFC,2021
Colorado Rapids,Vancouver Whitecaps,2021
Inter Miami CF,Nashville SC,2021
Chicago Fire FC,New England Revolution,2021
New York Red Bulls,New York City FC,2021
Philadelphia Union,Atlanta United FC,2021
New England Revolution,Orlando City SC,2021
Columbus Crew,CF Montréal,2021
DC United,FC Cincinnati,2021
Colorado Rapids,Toronto FC,2021
Minnesota United FC,Houston Dynamo FC,2021
New York City FC,New York Red Bulls,2021
San Jose Earthquakes,LAFC,2021
Vancouver Whitecaps,FC Dallas,2021
Portland Timbers,Real Salt Lake,2021
Chicago Fire FC,Nashville SC,2021
Sporting Kansas City,Seattle Sounders FC,2021
Austin FC,LA Galaxy,2021
Atlanta United FC,Inter Miami CF,2021
Toronto FC,FC Cincinnati,2021
CF Montréal,New England Revolution,2021
DC United,Minnesota United FC,2021
New York Red Bulls,Philadelphia Union,2021
Chicago Fire FC,New York City FC,2021
FC Dallas,Sporting Kansas City,2021
Nashville SC,Orlando City SC,2021
Colorado Rapids,Austin FC,2021
Houston Dynamo FC,Vancouver Whitecaps,2021
Real Salt Lake,LA Galaxy,2021
LAFC,Portland Timbers,2021
San Jose Earthquakes,Seattle Sounders FC,2021
Austin FC,Real Salt Lake,2021
CF Montréal,Atlanta United FC,2021
FC Cincinnati,New York Red Bulls,2021
Orlando City SC,DC United,2021
FC Dallas,Minnesota United FC,2021
Vancouver Whitecaps,San Jose Earthquakes,2021
New York City FC,Nashville SC,2021
Philadelphia Union,Columbus Crew,2021
Sporting Kansas City,Houston Dynamo FC,2021
Toronto FC,Chicago Fire FC,2021
Portland Timbers,Inter Miami CF,2021
LA Galaxy,LAFC,2021
Seattle Sounders FC,Colorado Rapids,2021
New York Red Bulls,Inter Miami CF,2021
FC Cincinnati,Philadelphia Union,2021
Seattle Sounders FC,Vancouver Whitecaps,2021
Minnesota United FC,Colorado Rapids,2021
CF Montréal,Philadelphia Union,2021
LAFC,San Jose Earthquakes,2021
Columbus Crew,Inter Miami CF,2021
New England Revolution,Chicago Fire FC,2021
DC United,Nashville SC,2021
FC Cincinnati,Orlando City SC,2021
Toronto FC,Atlanta United FC,2021
Houston Dynamo FC,Seattle Sounders FC,2021
Austin FC,Minnesota United FC,2021
Real Salt Lake,Colorado Rapids,2021
LA Galaxy,Portland Timbers,2021
New York Red Bulls,New York City FC,2021
Vancouver Whitecaps,Sporting Kansas City,2021
Atlanta United FC,New York City FC,2021
DC United,New England Revolution,2021
FC Cincinnati,Chicago Fire FC,2021
Inter Miami CF,Toronto FC,2021
Orlando City SC,CF Montréal,2021
FC Dallas,LAFC,2021
Minnesota United FC,Philadelphia Union,2021
Houston Dynamo FC,LA Galaxy,2021
Nashville SC,Columbus Crew,2021
Colorado Rapids,Seattle Sounders FC,2021
Portland Timbers,Vancouver Whitecaps,2021
San Jose Earthquakes,Austin FC,2021
Seattle Sounders FC,Sporting Kansas City,2021
Columbus Crew,New York Red Bulls,2021
New York City FC,DC United,2021
Philadelphia Union,Nashville SC,2021
Toronto FC,CF Montréal,2021
Chicago Fire FC,Real Salt Lake,2021
Inter Miami CF,FC Cincinnati,2021
Minnesota United FC,LAFC,2021
Colorado Rapids,Portland Timbers,2021
LA Galaxy,FC Dallas,2021
San Jose Earthquakes,Vancouver Whitecaps,2021
Austin FC,Houston Dynamo FC,2021
Orlando City SC,New England Revolution,2021
LAFC,Seattle Sounders FC,2021
New England Revolution,Colorado Rapids,2021
Atlanta United FC,Inter Miami CF,2021
Columbus Crew,Orlando City SC,2021
DC United,New York Red Bulls,2021
FC Cincinnati,Nashville SC,2021
New York City FC,Chicago Fire FC,2021
Toronto FC,Philadelphia Union,2021
FC Dallas,Real Salt Lake,2021
Sporting Kansas City,LA Galaxy,2021
Portland Timbers,San Jose Earthquakes,2021
Vancouver Whitecaps,Minnesota United FC,2021
Inter Miami CF,New York City FC,2021
Real Salt Lake,San Jose Earthquakes,2021
New York Red Bulls,CF Montréal,2021
Atlanta United FC,Toronto FC,2021
DC United,Columbus Crew,2021
FC Dallas,Austin FC,2021
Minnesota United FC,Sporting Kansas City,2021
Houston Dynamo FC,Colorado Rapids,2021
Orlando City SC,Nashville SC,2021
Philadelphia Union,FC Cincinnati,2021
Seattle Sounders FC,LA Galaxy,2021
LAFC,Vancouver Whitecaps,2021
CF Montréal,Houston Dynamo FC,2021
New York Red Bulls,Atlanta United FC,2021
Austin FC,Sporting Kansas City,2021
Real Salt Lake,Portland Timbers,2021
CF Montréal,Orlando City SC,2021
Columbus Crew,Chicago Fire FC,2021
FC Cincinnati,Atlanta United FC,2021
Nashville SC,New York Red Bulls,2021
New England Revolution,Inter Miami CF,2021
New York City FC,Philadelphia Union,2021
Toronto FC,DC United,2021
Colorado Rapids,LAFC,2021
LA Galaxy,Minnesota United FC,2021
Portland Timbers,Austin FC,2021
San Jose Earthquakes,FC Dallas,2021
Sporting Kansas City,Real Salt Lake,2021
Vancouver Whitecaps,Seattle Sounders FC,2021
